State,Year,District,Taluka,Pre-Monsoon Level (mbgl),Post-Monsoon Level (mbgl),Annual Recharge (MCM),Extractable Resource (MCM),Total Extraction (MCM),Extraction Stage (%),Groundwater Category,Area / Pocket,Subdivision
Maharashtra,2021,Beed,Majalgaon,5.75,2.95,131.5,124.93,80.4,64.36%,Safe,,
Maharashtra,2021,Beed,Ambajogai,7.65,4.35,111.4,105.83,84.2,79.56%,Semi-Critical,,
Maharashtra,2021,Beed,Parli Vaijnath,7.35,4.15,94.2,89.49,70.8,79.11%,Semi-Critical,,
Maharashtra,2021,Beed,Dharur,6.95,3.65,66.2,62.89,46.5,73.94%,Semi-Critical,,
Maharashtra,2021,Beed,Ashti,8.4,5.05,119.5,113.53,102.4,90.19%,Critical,,
Maharashtra,2021,Beed,Kaij,7.15,4.05,115.8,110.01,89.4,81.27%,Semi-Critical,,
Maharashtra,2021,Beed,Patoda,8.7,5.35,81.2,77.14,72.8,94.37%,Critical,,
Maharashtra,2021,Beed,Wadwani,6.15,3.35,50.4,47.88,31.2,65.16%,Safe,,
Maharashtra,2021,Beed,Shirur Kasar,8.15,4.95,69.8,66.31,56.4,85.06%,Semi-Critical,,
Maharashtra,2021,Bhandara,Bhandara,5.2,2.05,115.4,109.63,51.4,46.88%,Safe,,
Maharashtra,2021,Bhandara,Tumsar,5.55,2.25,130.6,124.07,64.8,52.23%,Safe,,
Maharashtra,2021,Bhandara,Pauni,4.85,1.85,108.5,103.08,42.6,41.32%,Safe,,
Maharashtra,2021,Bhandara,Mohadi,5.85,2.45,92.4,87.78,49.5,56.39%,Safe,,
Maharashtra,2021,Bhandara,Sakoli,4.5,1.55,102.1,97,36.8,37.94%,Safe,,
Maharashtra,2021,Bhandara,Lakhani,5.05,2.15,84.55,80.32,38.6,48.06%,Safe,,
Maharashtra,2021,Bhandara,Lakhandur,4.25,1.45,118.6,112.67,42.1,37.37%,Safe,,
Maharashtra,2021,Buldhana,Buldhana,6.85,3.55,112.5,106.88,72.4,67.74%,Safe,,
Maharashtra,2021,Buldhana,Chikhli,7.55,4.25,143.2,136.04,112.5,82.70%,Semi-Critical,,
Maharashtra,2021,Buldhana,Deulgaon Raja,7.05,3.85,86.4,82.08,66.8,81.38%,Semi-Critical,,
Maharashtra,2021,Buldhana,Jalgaon Jamod,8.25,4.55,100.25,95.24,82.4,86.52%,Semi-Critical,,
Maharashtra,2021,Buldhana,Khamgaon,7.25,4.05,135.8,129.01,102.5,79.45%,Semi-Critical,,
Maharashtra,2021,Buldhana,Lonar,6.55,3.45,90.65,86.12,59.5,69.09%,Safe,,
Maharashtra,2021,Buldhana,Malkapur,6.05,3.25,80.5,76.48,50.4,65.90%,Safe,,
Maharashtra,2021,Buldhana,Mehkar,6.25,3.05,151.4,143.83,96.2,66.88%,Safe,,
Maharashtra,2021,Buldhana,Motala,6.95,3.65,94.6,89.87,63.2,70.32%,Safe,,
Maharashtra,2021,Buldhana,Nandura,7.05,3.75,87.2,82.84,60.5,73.03%,Semi-Critical,,
Maharashtra,2021,Buldhana,Sangrampur,8.05,4.45,76.5,72.68,64.15,88.26%,Semi-Critical,,
Maharashtra,2021,Buldhana,Shegaon,5.85,2.85,72.8,69.16,43.8,63.33%,Safe,,
Maharashtra,2021,Buldhana,Sindkhed Raja,7.45,4.15,110.45,104.93,87.2,83.10%,Semi-Critical,,
Maharashtra,2021,Chandrapur,Chandrapur,6.25,2.85,126.8,120.46,67.4,55.95%,Safe,,
Maharashtra,2021,Chandrapur,Ballarpur,6.05,2.55,44.5,42.28,21.8,51.56%,Safe,,
Maharashtra,2021,Chandrapur,Warora,6.85,3.25,140.5,133.48,91.2,68.33%,Safe,,
Maharashtra,2021,Chandrapur,Bhadravati,6.55,3.05,116.8,110.96,64.2,57.86%,Safe,,
Maharashtra,2021,Chandrapur,Chimur,5.25,2.05,163.4,155.23,70.8,45.61%,Safe,,
Maharashtra,2021,Chandrapur,Nagbhid,4.85,1.85,114.2,108.49,41.5,38.25%,Safe,,
Maharashtra,2021,Chandrapur,Bramhapuri,4.55,1.55,130.5,123.98,47.2,38.07%,Safe,,
Maharashtra,2021,Chandrapur,Sindewahi,5.05,2.15,97.4,92.53,37.5,40.53%,Safe,,
Maharashtra,2021,Chandrapur,Mul,5.15,1.95,100.8,95.76,40.8,42.61%,Safe,,
Maharashtra,2021,Chandrapur,Saoli,4.65,1.65,92.8,88.16,33.9,38.45%,Safe,,
Maharashtra,2021,Chandrapur,Gondpimpri,5.85,2.45,86.4,82.08,40.8,49.71%,Safe,,
Maharashtra,2021,Chandrapur,Rajura,7.05,3.55,110.5,104.98,66.8,63.63%,Safe,,
Maharashtra,2021,Chandrapur,Korpana,7.55,3.85,95.2,90.44,65.1,71.98%,Semi-Critical,,
Maharashtra,2021,Chandrapur,Pomburna,5.35,2.25,61.2,58.14,23.8,40.94%,Safe,,
Maharashtra,2021,Chandrapur,Jivati,7.85,4.25,57.5,54.63,25.9,47.41%,Safe,,
Maharashtra,2021,Chh. Sambhajinagar,Chh. Sambhajinagar,7.95,4.15,136.4,129.58,94.2,72.69%,Semi-Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Kannad,8.35,4.45,130.2,123.69,100.4,81.17%,Semi-Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Soygaon,6.6,3.25,66.8,63.46,35.2,55.47%,Safe,,
Maharashtra,2021,Chh. Sambhajinagar,Sillod,8.85,5.15,142.5,135.38,118.6,87.61%,Semi-Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Phulambri,8.15,4.55,80.6,76.57,62.4,81.49%,Semi-Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Khultabad,7.4,3.85,57.4,54.53,39.8,72.99%,Semi-Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Vaijapur,10.45,6.25,120.5,114.48,126.8,110.76%,Over-Exploited,,
Maharashtra,2021,Chh. Sambhajinagar,Gangapur,9.6,5.7,125.8,119.51,112.4,94.05%,Critical,,
Maharashtra,2021,Chh. Sambhajinagar,Paithan,7.2,3.65,151.4,143.83,94.2,65.49%,Safe,,
Maharashtra,2021,Dharashiv,Dharashiv,8.25,4.65,132.1,125.5,104.2,83.03%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Tuljapur,8.65,5,115.4,109.63,92.4,84.28%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Umarga,7.85,4.15,108.5,103.08,84.6,82.07%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Kalamb,8.15,4.35,122.6,116.47,91.5,78.56%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Paranda,9.5,5.5,82.4,78.28,74.2,94.79%,Critical,,
Maharashtra,2021,Dharashiv,Bhum,7.15,3.65,74.2,70.49,50.1,71.07%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Lohara,7.4,3.85,63.8,60.61,44.2,72.92%,Semi-Critical,,
Maharashtra,2021,Dharashiv,Washi,7.95,4.3,58.9,55.96,46.5,83.10%,Semi-Critical,,
Maharashtra,2021,Dhule,Dhule,7.2,3.8,148.6,141.2,108.4,76.77%,Semi-Critical,,
Maharashtra,2021,Dhule,Sakri,6.5,3.2,185.4,176.1,122.5,69.56%,Safe,,
Maharashtra,2021,Dhule,Shirpur,9.8,5.8,156.2,148.4,162.8,109.70%,Over-Exploited,,
Maharashtra,2021,Dhule,Shindkheda,8.5,4.8,124.5,118.3,105.6,89.26%,Semi-Critical,,
Maharashtra,2021,Gadchiroli,Gadchiroli,4.9,1.85,114.2,108.49,31.8,29.31%,Safe,,
Maharashtra,2021,Gadchiroli,Dhanora,4.25,1.55,146.8,139.46,21.6,15.49%,Safe,,
Maharashtra,2021,Gadchiroli,Chamorshi,4.55,1.65,182.4,173.28,56.5,32.61%,Safe,,
Maharashtra,2021,Gadchiroli,Mulchera,4.05,1.45,76.8,72.96,17.8,24.40%,Safe,,
Maharashtra,2021,Gadchiroli,Aheri,5.05,2.05,160.5,152.48,30.5,20.00%,Safe,,
Maharashtra,2021,Gadchiroli,Sironcha,4.85,1.95,126.8,120.46,42,34.86%,Safe,,
Maharashtra,2021,Gadchiroli,Etapalli,3.85,1.25,152.6,144.97,16.1,11.11%,Safe,,
Maharashtra,2021,Gadchiroli,Bhamragad,3.55,1.05,96.4,91.58,7.07,7.72%,Safe,,
Maharashtra,2021,Gadchiroli,Desaiganj,5.25,2.25,66.8,63.46,25.8,40.66%,Safe,,
Maharashtra,2021,Gadchiroli,Armori,4.95,2.05,92.5,87.88,30.4,34.59%,Safe,,
Maharashtra,2021,Gadchiroli,Kurkheda,4.45,1.75,105.4,100.13,20.8,20.77%,Safe,,
Maharashtra,2021,Gadchiroli,Korchi,4.15,1.45,80.6,76.57,10.8,14.10%,Safe,,
Maharashtra,2021,Gondia,Amgaon,5.1,2.05,90.5,85.98,39.5,45.94%,Safe,,
Maharashtra,2021,Gondia,Arjuni Morgaon,4.6,1.7,122.1,116,43.8,37.76%,Safe,,
Maharashtra,2021,Gondia,Deori,4.1,1.45,100.2,95.19,23.85,25.06%,Safe,,
Maharashtra,2021,Gondia,Gondia,5.35,2.2,145.2,137.94,70.2,50.89%,Safe,,
Maharashtra,2021,Gondia,Goregaon,4.85,1.95,86.1,81.8,34.8,42.54%,Safe,,
Maharashtra,2021,Gondia,Sadak Arjuni,4.5,1.65,94.2,89.49,30.85,34.47%,Safe,,
Maharashtra,2021,Gondia,Salekasa,3.95,1.3,76.1,72.3,17.2,23.79%,Safe,,
Maharashtra,2021,Gondia,Tirora,5.2,2.1,113.8,108.11,55.9,51.71%,Safe,,
Maharashtra,2021,Hingoli,Hingoli,6.9,3.6,110.8,105.26,78.4,74.48%,Safe,,
Maharashtra,2021,Hingoli,Basmath,7.7,4.2,131.4,124.83,101.5,81.31%,Semi-Critical,,
Maharashtra,2021,Hingoli,Kalamnuri,5.9,2.9,100.2,95.19,58.2,61.14%,Safe,,
Maharashtra,2021,Hingoli,Sengaon,6.3,3.2,94.6,89.87,60.4,67.21%,Safe,,
Maharashtra,2021,Hingoli,Aundha Nagnath,6.1,3,84.5,80.28,51.2,63.78%,Safe,,
Maharashtra,2021,Jalgaon,Amalner,7.5,3.8,118.5,112.6,88.4,78.51%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Bhadgaon,6.8,3.4,84.6,80.4,54.2,67.41%,Safe,,
Maharashtra,2021,Jalgaon,Bhusawal,6,3,62.4,59.3,41.5,69.98%,Safe,,
Maharashtra,2021,Jalgaon,Bodwad,6.5,3.2,74.2,70.5,48.6,68.94%,Safe,,
Maharashtra,2021,Jalgaon,Chalisgaon,8.5,4.8,158.4,150.5,134.8,89.57%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Chopda,7.8,4.2,142.6,135.5,122.4,90.33%,Critical,,
Maharashtra,2021,Jalgaon,Dharangaon,7,3.6,88.2,83.8,66.1,78.88%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Erandol,6.9,3.5,92.5,87.9,68.2,77.59%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Jalgaon,7.2,3.7,134.8,128.1,98.6,76.97%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Jamner,8,4.5,162.1,154,132.5,86.04%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Muktainagar,6.2,3.1,81.3,77.2,51.4,66.58%,Safe,,
Maharashtra,2021,Jalgaon,Pachora,7.1,3.5,110.4,104.9,78.2,74.55%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Parola,7.6,4,98.7,93.8,76.4,81.45%,Semi-Critical,,
Maharashtra,2021,Jalgaon,Raver,12.5,7.2,168.5,160.1,184.2,115.05%,Over-Exploited,,
Maharashtra,2021,Jalgaon,Yawal,11.2,6.5,145.2,137.9,152.6,110.66%,Over-Exploited,,
Maharashtra,2021,Jalna,Jalna,7.95,4.25,132.1,125.5,98.4,78.41%,Semi-Critical,,
Maharashtra,2021,Jalna,Badnapur,7.65,3.95,94.8,90.06,72.1,80.06%,Semi-Critical,,
Maharashtra,2021,Jalna,Ambad,8.35,4.85,140.2,133.19,118.5,88.97%,Semi-Critical,,
Maharashtra,2021,Jalna,Ghansawangi,6.75,3.45,125.4,119.13,79.4,66.65%,Safe,,
Maharashtra,2021,Jalna,Bhokardan,8.65,5.35,149.6,142.12,132.4,93.16%,Critical,,
Maharashtra,2021,Jalna,Jafrabad,8.05,4.65,87.5,83.12,69.8,83.97%,Semi-Critical,,
Maharashtra,2021,Jalna,Partur,6.5,3.15,102.5,97.38,64.2,65.93%,Safe,,
Maharashtra,2021,Jalna,Mantha,7.2,3.75,96.8,91.96,71.5,77.75%,Semi-Critical,,
Maharashtra,2021,Kolhapur,Karveer,5.3,2,145.2,137.94,89.4,64.81%,Safe,,
Maharashtra,2021,Kolhapur,Ajra,3.35,1.05,89.6,85.12,21.4,25.14%,Safe,,
Maharashtra,2021,Kolhapur,Bhudargad,3.8,1.3,108.5,103.07,31.8,30.85%,Safe,,
Maharashtra,2021,Kolhapur,Chandgad,3,0.85,131.4,124.83,26.9,21.55%,Safe,,
Maharashtra,2021,Kolhapur,Gaganbawada,2.6,0.4,61.5,58.42,7.8,13.35%,Safe,,
Maharashtra,2021,Kolhapur,Gadhinglaj,5,1.8,114.8,109.06,65.2,59.78%,Safe,,
Maharashtra,2021,Kolhapur,Hatkanangale,7,3.55,118.6,112.67,94.6,83.96%,Semi-Critical,,
Maharashtra,2021,Kolhapur,Kagal,5.55,2.2,101.4,96.33,61.2,63.53%,Safe,,
Maharashtra,2021,Kolhapur,Panhala,4.5,1.55,95.2,90.44,42.6,47.10%,Safe,,
Maharashtra,2021,Kolhapur,Radhanagari,3.5,1,124.5,118.27,25.1,21.22%,Safe,,
Maharashtra,2021,Kolhapur,Shahuwadi,4,1.2,106.8,101.46,22.8,22.47%,Safe,,
Maharashtra,2021,Kolhapur,Shirol,6.6,3.3,110.5,104.97,91.4,87.07%,Semi-Critical,,
Maharashtra,2021,Latur,Latur,8.25,4.65,115.2,109.44,94.8,86.62%,Semi-Critical,,
Maharashtra,2021,Latur,Ahmadpur,7.5,3.95,100.4,95.38,78.5,82.28%,Semi-Critical,,
Maharashtra,2021,Latur,Ausa,7.95,4.3,131.8,125.21,108.4,86.57%,Semi-Critical,,
Maharashtra,2021,Latur,Udgir,7.65,4.15,124.5,118.28,100.2,84.71%,Semi-Critical,,
Maharashtra,2021,Latur,Chakur,6.9,3.55,86.4,82.08,64.1,78.09%,Semi-Critical,,
Maharashtra,2021,Latur,Jalkot,6.25,3.15,60.8,57.76,39.5,68.39%,Safe,,
Maharashtra,2021,Latur,Nilanga,8.55,5,142.6,135.47,128.4,94.78%,Critical,,
Maharashtra,2021,Latur,Deoni,6.75,3.45,66.8,63.46,49.5,77.99%,Semi-Critical,,
Maharashtra,2021,Latur,Shirur Anantpal,6.6,3.3,57.2,54.34,40.8,75.08%,Semi-Critical,,
Maharashtra,2021,Latur,Renapur,7.15,3.8,80.5,76.48,62.4,81.59%,Semi-Critical,,
Maharashtra,2021,Mumbai City,Mumbai Colaba,3.42,1.45,4.25,4.04,0.92,22.77%,Safe (Saline Risk),,
Maharashtra,2021,Mumbai City,Mumbai Fort,3.12,1.12,3.15,2.99,0.76,25.42%,Safe (Saline Risk),,
Maharashtra,2021,Mumbai City,Mumbai Malabar Hill,4.45,1.72,4.85,4.61,1.08,23.43%,Safe,,
Maharashtra,2021,Mumbai City,Mumbai Byculla,2.98,0.98,6.55,6.22,1.98,31.83%,Safe,,
Maharashtra,2021,Mumbai City,Mumbai Dadar,2.72,0.78,7.45,7.08,2.48,35.03%,Safe,,
Maharashtra,2021,Mumbai City,Dharavi,3.18,1.18,5.85,5.56,2.18,39.21%,Safe,,
Maharashtra,2021,Mumbai Suburban,Andheri,4.3,1.6,19.5,18.52,8.2,44.28%,Safe,,
Maharashtra,2021,Mumbai Suburban,Borivali,4.1,1.3,23.4,22.23,8.6,38.69%,Safe,,
Maharashtra,2021,Mumbai Suburban,Kurla,4.65,1.95,25.8,24.51,11.8,48.14%,Safe,,
Maharashtra,2021,Nagpur,Nagpur City,5.8,2.5,32.4,30.78,14.2,46.13%,Safe,,
Maharashtra,2021,Nagpur,Nagpur Rural,6.2,2.95,88.5,84.08,58.4,69.46%,Safe,,
Maharashtra,2021,Nagpur,Kamptee,5.5,2.2,74.2,70.49,45.6,64.69%,Safe,,
Maharashtra,2021,Nagpur,Hingna,6.1,2.8,92.6,87.97,64.2,72.98%,Semi-Critical,,
Maharashtra,2021,Nagpur,Katol,10.2,6.1,142.8,135.66,154.5,113.89%,Over-Exploited,,
Maharashtra,2021,Nagpur,Narkhed,9.5,5.6,135.4,128.63,141.2,109.77%,Over-Exploited,,
Maharashtra,2021,Nagpur,Saoner,6.8,3.1,118.6,112.67,89.4,79.35%,Semi-Critical,,
Maharashtra,2021,Nagpur,Kalmeshwar,8.4,4.6,105.3,100.04,92.8,92.76%,Critical,,
Maharashtra,2021,Nagpur,Ramtek,4.8,1.8,122.4,116.28,48.5,41.71%,Safe,,
Maharashtra,2021,Nagpur,Parseoni,4.6,1.65,96.5,91.68,36.2,39.48%,Safe,,
Maharashtra,2021,Nagpur,Mouda,5,1.95,114.2,108.49,52.4,48.30%,Safe,,
Maharashtra,2021,Nagpur,Umred,5.75,2.5,108.7,103.27,62.1,60.13%,Safe,,
Maharashtra,2021,Nagpur,Bhiwapur,5.3,2.2,78.9,74.96,38.4,51.23%,Safe,,
Maharashtra,2021,Nagpur,Kuhi,5.4,2.35,125.1,118.85,54.8,46.11%,Safe,,
Maharashtra,2021,Nanded,Ardhapur,7.15,3.7,81.6,77.52,65.2,84.11%,Semi-Critical,,
Maharashtra,2021,Nanded,Bhokar,6.45,3.15,93.8,89.11,61.4,68.90%,Safe,,
Maharashtra,2021,Nanded,Biloli,6,2.9,87.6,83.22,57.5,69.09%,Safe,,
Maharashtra,2021,Nanded,Degloor,6.75,3.45,104.2,98.99,77.4,78.19%,Semi-Critical,,
Maharashtra,2021,Nanded,Dharmabad,5.75,2.7,67.4,64.03,41.8,65.28%,Safe,,
Maharashtra,2021,Nanded,Hadgaon,7.5,3.95,156.8,148.96,131.2,88.08%,Semi-Critical,,
Maharashtra,2021,Nanded,Himayatnagar,6.15,3,73.5,69.83,47.9,68.59%,Safe,,
Maharashtra,2021,Nanded,Kandhar,7.65,4.15,117.4,111.53,95.2,85.36%,Semi-Critical,,
Maharashtra,2021,Nanded,Kinwat,4.45,1.5,163.5,155.33,31.9,20.54%,Safe,,
Maharashtra,2021,Nanded,Loha,7.5,4.05,133.4,126.73,103.2,81.43%,Semi-Critical,,
Maharashtra,2021,Nanded,Mahur,4.2,1.35,91.8,87.21,17.9,20.53%,Safe,,
Maharashtra,2021,Nanded,Mudkhed,6.85,3.55,61.5,58.43,49.2,84.20%,Semi-Critical,,
Maharashtra,2021,Nanded,Mukhed,7.3,3.85,121.2,115.14,90.8,78.86%,Semi-Critical,,
Maharashtra,2021,Nanded,Naigaon,6.95,3.65,97.5,92.63,73.4,79.24%,Semi-Critical,,
Maharashtra,2021,Nanded,Nanded,6.75,3.3,111.2,105.64,77.5,73.36%,Semi-Critical,,
Maharashtra,2021,Nanded,Umri,6.1,2.85,58.2,55.29,37.9,68.55%,Safe,,
Maharashtra,2021,Nandurbar,Akkalkuwa,4.65,1.95,91.2,86.64,20.8,24.01%,Safe,,
Maharashtra,2021,Nandurbar,Akrani,3.95,1.35,77.5,73.63,11.1,15.08%,Safe,,
Maharashtra,2021,Nandurbar,Nandurbar,7.2,3.9,126.8,120.46,90.5,75.13%,Semi-Critical,,
Maharashtra,2021,Nandurbar,Nawapur,5.95,2.65,113.8,108.11,62.8,58.09%,Safe,,
Maharashtra,2021,Nandurbar,Shahada,9.6,5.5,165.4,157.13,149.8,95.33%,Critical,,
Maharashtra,2021,Nandurbar,Taloda,6.65,3.35,83.2,79.04,53.2,67.31%,Safe,,
Maharashtra,2021,Nashik,Nashik,6.1,2.9,134.8,128.06,82.4,64.34%,Safe,,
Maharashtra,2021,Nashik,Igatpuri,3.3,0.85,112.5,106.88,22.1,20.68%,Safe,,
Maharashtra,2021,Nashik,Trimbakeshwar,3.45,0.95,98.4,93.48,18.5,19.79%,Safe,,
Maharashtra,2021,Nashik,Dindori,6.7,3.4,158.2,150.29,121.4,80.78%,Semi-Critical,,
Maharashtra,2021,Nashik,Peth,3.9,1.1,84.6,80.37,14.2,17.67%,Safe,,
Maharashtra,2021,Nashik,Kalwan,5.7,2.65,105.4,100.13,74.5,74.40%,Safe,,
Maharashtra,2021,Nashik,Surgana,3.7,1.05,92.3,87.69,11.8,13.46%,Safe,,
Maharashtra,2021,Nashik,Chandwad,8.4,4.6,96.5,91.68,84.6,92.28%,Critical,,
Maharashtra,2021,Nashik,Deola,7.9,4.3,82.4,78.28,68.3,87.25%,Semi-Critical,,
Maharashtra,2021,Nashik,Baglan,7.4,4.1,148.6,141.17,118.4,83.87%,Semi-Critical,,
Maharashtra,2021,Nashik,Malegaon,7.65,4.25,185.3,176.04,138.2,78.50%,Semi-Critical,,
Maharashtra,2021,Nashik,Nandgaon,8.1,4.7,78.5,74.58,58.4,78.30%,Semi-Critical,,
Maharashtra,2021,Nashik,Yeola,8.9,5.1,102.4,97.28,91.5,94.06%,Critical,,
Maharashtra,2021,Nashik,Niphad,10.2,6.1,168.5,160.08,178.4,111.44%,Over-Exploited,,
Maharashtra,2021,Nashik,Sinnar,9.5,5.6,122.6,116.47,124.8,107.15%,Over-Exploited,,
Maharashtra,2021,Palghar,Palghar,5.4,1.9,122.4,116.28,48.2,41.45%,Safe (Saline Risk),,
Maharashtra,2021,Palghar,Vasai,5.85,2.2,96.5,91.68,54.1,59.01%,Safe,,
Maharashtra,2021,Palghar,Dahanu,4.9,1.65,114.2,108.49,36.5,33.64%,Safe (Saline Risk),,
Maharashtra,2021,Palghar,Talasari,4.6,1.4,68.4,64.98,18.2,28.01%,Safe,,
Maharashtra,2021,Palghar,Wada,4.4,1.3,125.1,118.85,32.4,27.26%,Safe,,
Maharashtra,2021,Palghar,Vikramgad,4.15,1.15,88.5,84.08,21.6,25.69%,Safe,,
Maharashtra,2021,Palghar,Jawhar,3.8,0.9,78.9,74.96,12.4,16.54%,Safe,,
Maharashtra,2021,Palghar,Mokhada,3.9,1,62.4,59.28,11.2,18.90%,Safe,,
Maharashtra,2021,Parbhani,Parbhani,6.75,3.45,150.2,142.69,98.4,68.96%,Safe,,Parbhani
Maharashtra,2021,Parbhani,Selu,7.3,3.75,120.4,114.38,91.2,79.73%,Semi-Critical,,Selu
Maharashtra,2021,Parbhani,Jintur,8.05,4.4,154.6,146.87,115.6,78.71%,Semi-Critical,,Selu
Maharashtra,2021,Parbhani,Gangakhed,6.05,2.85,104.5,99.28,66.4,66.88%,Safe,,Gangakhed
Maharashtra,2021,Parbhani,Purna,5.7,2.55,94.8,90.06,54.2,60.18%,Safe,,Gangakhed
Maharashtra,2021,Parbhani,Palam,5.85,2.75,80.4,76.38,46.8,61.27%,Safe,,Gangakhed
Maharashtra,2021,Parbhani,Pathri,6.35,3.05,87.1,82.75,52.4,63.32%,Safe,,Pathri
Maharashtra,2021,Parbhani,Manwath,6.6,3.25,84.2,79.99,56.5,70.63%,Safe,,Pathri
Maharashtra,2021,Parbhani,Sonpeth,5.95,2.45,66.8,63.46,36.5,57.52%,Safe,,Pathri
Maharashtra,2021,Pune,Pune City / Haveli,6.55,2.6,160.4,152.38,110.5,72.52%,Semi-Critical,,
